PrenomNom;username Facebook;username Twitter;username Instagram;Chaine Youtube
Abdoulaye Doucouré;Abdoulaye-Doucouré-1268128906531792
Paul POGBA;PaulPogba;paulpogba;paulpogba;
Kylian MBAPP�;kylianmbappeofficiel;KMbappe;k.mbappe;channel/UCTiJGWJiDJYlMQYUchNrHkA
Karim BENZEMA;KarimBenzema;Benzema;karimbenzema;
Antoine GRIEZMANN;antoine.griezmann;AntoGriezmann;antogriezmann;user/AntoineGriezmann
Raphael VARANE;raphaelvarane;raphaelvarane;raphaelvarane;
Ousmane DEMBEL�;OusmaneDembele07;Dembouz;o.dembele7;
Samuel UMTITI;SamuelUmtiti;samumtiti;samumtiti;
Patrice EVRA;PatriceEvraOfficial;evra;patrice.evra;
N'Golo KANT�;nglkante;nglkante;nglkante;
Anthony MARTIAL;AnthonyMartialAM9;AnthonyMartial;martial_9;
